127.0.0.1 - - [26/Apr/2018:00:34:32 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
127.0.0.1 - - [26/Apr/2018:00:34:32 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:34:32 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:34:45 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
127.0.0.1 - - [26/Apr/2018:00:34:45 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:34:45 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:35:17 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:35:17 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:35:17 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:35:17 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:35:17 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:23:57 +0200] "GET / HTTP/1.1" 404 962
127.0.0.1 - - [26/Apr/2018:13:24:56 +0200] "GET /twitter/css/main.css HTTP/1.1" 200 11941
127.0.0.1 - - [26/Apr/2018:13:24:56 +0200] "GET /favicon.ico HTTP/1.1" 404 984
127.0.0.1 - - [26/Apr/2018:13:24:56 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 200 16384
127.0.0.1 - - [26/Apr/2018:13:24:56 +0200] "GET /favicon.ico HTTP/1.1" 404 984
127.0.0.1 - - [26/Apr/2018:13:24:57 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:24:58 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:24:58 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11743
127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
